task,tag,hidden,D_eff,seed,metric,target_pct,target_origin,reached,step_at_target,net_Wh_at_target,final_net_Wh
"ARC-AGI-1 subset lama e512 (1 task, TIDAK SAH)",h256_d18_recipe_b48_s0,256,18,0,accuracy,33.3,"best token accuracy of D_eff=18, OLD e512 subset",yes,6078,159.31,284.93
"ARC-AGI-1 subset lama e512 (1 task, TIDAK SAH)",h256_d18_recipe_b48_s1,256,18,1,accuracy,30.59,"best token accuracy of D_eff=36, OLD e512 subset",no,,,283.47
"ARC-AGI-1 subset lama e512 (1 task, TIDAK SAH)",h256_d18_recipe_b48_s1,256,18,1,accuracy,33.3,"best token accuracy of D_eff=18, OLD e512 subset",no,,,283.47
"ARC-AGI-1 subset lama e512 (1 task, TIDAK SAH)",h256_d18_recipe_b48_s2,256,18,2,accuracy,30.59,"best token accuracy of D_eff=36, OLD e512 subset",yes,7818,203.30,282.28
"ARC-AGI-1 subset lama e512 (1 task, TIDAK SAH)",h256_d18_recipe_b48_s2,256,18,2,accuracy,33.3,"best token accuracy of D_eff=18, OLD e512 subset",yes,10422,270.93,282.28
"ARC-AGI-1 subset lama e512 (1 task, TIDAK SAH)",h256_d18_recipe_b48_s3,256,18,3,accuracy,30.59,"best token accuracy of D_eff=36, OLD e512 subset",no,,,277.25
"ARC-AGI-1 subset lama e512 (1 task, TIDAK SAH)",h256_d18_recipe_b48_s3,256,18,3,accuracy,33.3,"best token accuracy of D_eff=18, OLD e512 subset",no,,,277.25
"ARC-AGI-1 subset lama e512 (1 task, TIDAK SAH)",h256_d18_recipe_b48_s4,256,18,4,accuracy,30.59,"best token accuracy of D_eff=36, OLD e512 subset",yes,6948,176.82,276.25
"ARC-AGI-1 subset lama e512 (1 task, TIDAK SAH)",h256_d18_recipe_b48_s4,256,18,4,accuracy,33.3,"best token accuracy of D_eff=18, OLD e512 subset",yes,8248,209.86,276.25
"ARC-AGI-1 subset lama e512 (1 task, TIDAK SAH)",h256_d36_recipe_b24_s0,256,36,0,accuracy,30.59,"best token accuracy of D_eff=36, OLD e512 subset",no,,,283.06
"ARC-AGI-1 subset lama e512 (1 task, TIDAK SAH)",h256_d36_recipe_b24_s0,256,36,0,accuracy,33.3,"best token accuracy of D_eff=18, OLD e512 subset",no,,,283.06
"ARC-AGI-1 subset lama e512 (1 task, TIDAK SAH)",h256_d36_recipe_b24_s1,256,36,1,accuracy,30.59,"best token accuracy of D_eff=36, OLD e512 subset",yes,2163,67.07,279.61
"ARC-AGI-1 subset lama e512 (1 task, TIDAK SAH)",h256_d36_recipe_b24_s1,256,36,1,accuracy,33.3,"best token accuracy of D_eff=18, OLD e512 subset",yes,2163,67.07,279.61
"ARC-AGI-1 subset lama e512 (1 task, TIDAK SAH)",h256_d36_recipe_b24_s2,256,36,2,accuracy,30.59,"best token accuracy of D_eff=36, OLD e512 subset",no,,,279.17
"ARC-AGI-1 subset lama e512 (1 task, TIDAK SAH)",h256_d36_recipe_b24_s2,256,36,2,accuracy,33.3,"best token accuracy of D_eff=18, OLD e512 subset",no,,,279.17
"ARC-AGI-1 subset lama e512 (1 task, TIDAK SAH)",h256_d36_recipe_b24_s3,256,36,3,accuracy,30.59,"best token accuracy of D_eff=36, OLD e512 subset",yes,2165,65.87,273.48
"ARC-AGI-1 subset lama e512 (1 task, TIDAK SAH)",h256_d36_recipe_b24_s3,256,36,3,accuracy,33.3,"best token accuracy of D_eff=18, OLD e512 subset",no,,,273.48
"ARC-AGI-1 subset lama e512 (1 task, TIDAK SAH)",h256_d36_recipe_b24_s4,256,36,4,accuracy,30.59,"best token accuracy of D_eff=36, OLD e512 subset",no,,,272.57
"ARC-AGI-1 subset lama e512 (1 task, TIDAK SAH)",h256_d36_recipe_b24_s4,256,36,4,accuracy,33.3,"best token accuracy of D_eff=18, OLD e512 subset",no,,,272.57
"ARC-AGI-1 subset lama e512 (1 task, TIDAK SAH)",h256_d9_recipe_b48_s0,256,9,0,accuracy,30.59,"best token accuracy of D_eff=36, OLD e512 subset",yes,6083,81.49,292.18
"ARC-AGI-1 subset lama e512 (1 task, TIDAK SAH)",h256_d9_recipe_b48_s0,256,9,0,accuracy,33.3,"best token accuracy of D_eff=18, OLD e512 subset",yes,14775,198.42,292.18
"ARC-AGI-1 subset lama e512 (1 task, TIDAK SAH)",h256_d9_recipe_b48_s1,256,9,1,accuracy,30.59,"best token accuracy of D_eff=36, OLD e512 subset",yes,7820,105.09,292.85
"ARC-AGI-1 subset lama e512 (1 task, TIDAK SAH)",h256_d9_recipe_b48_s1,256,9,1,accuracy,33.3,"best token accuracy of D_eff=18, OLD e512 subset",yes,7820,105.09,292.85
"ARC-AGI-1 subset lama e512 (1 task, TIDAK SAH)",h256_d9_recipe_b48_s2,256,9,2,accuracy,30.59,"best token accuracy of D_eff=36, OLD e512 subset",yes,21728,290.57,290.61
"ARC-AGI-1 subset lama e512 (1 task, TIDAK SAH)",h256_d9_recipe_b48_s2,256,9,2,accuracy,33.3,"best token accuracy of D_eff=18, OLD e512 subset",no,,,290.61
"ARC-AGI-1 subset lama e512 (1 task, TIDAK SAH)",h256_d9_recipe_b48_s3,256,9,3,accuracy,30.59,"best token accuracy of D_eff=36, OLD e512 subset",yes,12168,159.61,285.22
"ARC-AGI-1 subset lama e512 (1 task, TIDAK SAH)",h256_d9_recipe_b48_s3,256,9,3,accuracy,33.3,"best token accuracy of D_eff=18, OLD e512 subset",yes,12168,159.61,285.22
"ARC-AGI-1 subset lama e512 (1 task, TIDAK SAH)",h256_d9_recipe_b48_s4,256,9,4,accuracy,30.59,"best token accuracy of D_eff=36, OLD e512 subset",yes,10428,136.57,284.46
"ARC-AGI-1 subset lama e512 (1 task, TIDAK SAH)",h256_d9_recipe_b48_s4,256,9,4,accuracy,33.3,"best token accuracy of D_eff=18, OLD e512 subset",yes,13036,170.69,284.46
ARC-AGI-1 (g400),h256_d9_recipe_b48_s0,256,9,0,accuracy,62.52,"best token accuracy of D_eff=36, g400 subset",yes,5214,67.91,284.14
ARC-AGI-1 (g400),h256_d9_recipe_b48_s1,256,9,1,accuracy,62.52,"best token accuracy of D_eff=36, g400 subset",yes,16512,216.54,284.96
ARC-AGI-1 (g400),h256_d9_recipe_b48_s2,256,9,2,accuracy,62.52,"best token accuracy of D_eff=36, g400 subset",yes,4346,57.08,284.86
ARC-AGI-1 (g400),h256_d9_recipe_b48_s3,256,9,3,accuracy,62.52,"best token accuracy of D_eff=36, g400 subset",yes,3476,45.31,284.11
ARC-AGI-1 (g400),h256_d9_recipe_b48_s4,256,9,4,accuracy,62.52,"best token accuracy of D_eff=36, g400 subset",yes,7819,101.98,283.61
ARC-AGI-1 (g400),h256_d36_recipe_b24_s0,256,36,0,accuracy,62.52,"best token accuracy of D_eff=36, g400 subset",yes,3609,213.97,267.58
ARC-AGI-1 (g400),h256_d36_recipe_b24_s1,256,36,1,accuracy,62.52,"best token accuracy of D_eff=36, g400 subset",yes,3429,203.66,268.00
ARC-AGI-1 (g400),h256_d36_recipe_b24_s2,256,36,2,accuracy,62.52,"best token accuracy of D_eff=36, g400 subset",yes,4149,246.54,268.02
ARC-AGI-1 (g400),h256_d36_recipe_b24_s3,256,36,3,accuracy,62.52,"best token accuracy of D_eff=36, g400 subset",no,,,268.03
ARC-AGI-1 (g400),h256_d36_recipe_b24_s4,256,36,4,accuracy,62.52,"best token accuracy of D_eff=36, g400 subset",no,,,267.53
