source,tag,hidden,D_eff,seed,step,exact_pct,token_pct,lm_loss
budget,h128_d18_s2,128,18,2,6000,2.5391,65.0704,0.8092043399810791
budget,h128_d18_s2,128,18,2,8000,2.7344,66.223,0.7760027050971985
budget,h128_d18_s2,128,18,2,10000,6.6406,67.7566,0.7653963565826416
budget,h128_d18_s2,128,18,2,12000,6.8359,67.6312,0.7530103325843811
budget,h128_d18_s2,128,18,2,14000,11.3281,68.0001,0.763067364692688
budget,h128_d18_s2,128,18,2,16000,11.1328,68.3232,0.7540675401687622
budget,h128_d18_s2,128,18,2,18000,12.1094,68.6439,0.7644141316413879
budget,h128_d18_s2,128,18,2,20000,12.5,68.4197,0.7482491135597229
budget,h128_d18_s2,128,18,2,22000,7.8125,68.3232,0.7366889119148254
budget,h128_d18_s2,128,18,2,24000,7.0312,68.4052,0.7459441423416138
budget,h128_d18_s2,128,18,2,26000,11.9141,68.451,0.7743189334869385
budget,h128_d18_s2,128,18,2,28000,9.5703,68.3256,0.7691653966903687
budget,h128_d18_s2,128,18,2,30000,6.4453,67.9977,0.7403355240821838
budget,h128_d18_s3,128,18,3,2000,0.0,58.2803,1.0170974731445312
budget,h128_d18_s3,128,18,3,4000,1.5625,62.7676,0.9106301069259644
budget,h128_d18_s3,128,18,3,6000,2.5391,65.7359,0.7949927449226379
budget,h128_d18_s3,128,18,3,8000,5.4688,67.0597,0.8062874674797058
budget,h128_d18_s3,128,18,3,10000,3.3203,66.4063,0.7796099185943604
budget,h128_d18_s3,128,18,3,12000,4.8828,67.4383,0.7565950751304626
budget,h128_d18_s3,128,18,3,14000,3.5156,67.4696,0.7487202882766724
budget,h128_d18_s3,128,18,3,16000,5.6641,68.7042,0.7312948107719421
budget,h128_d18_s3,128,18,3,18000,5.4688,67.6939,0.7503681778907776
budget,h128_d18_s3,128,18,3,20000,5.0781,66.4834,0.8068193793296814
budget,h128_d18_s3,128,18,3,22000,4.2969,67.2815,0.7521890997886658
budget,h128_d18_s3,128,18,3,24000,7.6172,67.6022,0.760844886302948
budget,h128_d18_s3,128,18,3,26000,9.375,68.0097,0.7687874436378479
budget,h128_d18_s3,128,18,3,28000,11.1328,68.1255,0.7473598122596741
budget,h128_d18_s3,128,18,3,30000,8.9844,67.947,0.7658117413520813
budget,h128_d18_s4,128,18,4,2000,0.0,58.7818,1.0050032138824463
budget,h128_d18_s4,128,18,4,4000,1.9531,64.007,0.8535585403442383
budget,h128_d18_s4,128,18,4,6000,2.5391,66.0132,0.7943587899208069
budget,h128_d18_s4,128,18,4,8000,3.125,66.833,0.7583759427070618
budget,h128_d18_s4,128,18,4,10000,4.2969,67.3708,0.75127774477005
budget,h128_d18_s4,128,18,4,12000,6.6406,67.894,0.7421877980232239
budget,h128_d18_s4,128,18,4,14000,13.8672,68.914,0.7552155256271362
budget,h128_d18_s4,128,18,4,16000,10.5469,69.1623,0.7222129106521606
budget,h128_d18_s4,128,18,4,18000,7.8125,67.6649,0.7608922123908997
budget,h128_d18_s4,128,18,4,20000,9.9609,68.1255,0.7424507737159729
budget,h128_d18_s4,128,18,4,22000,10.3516,69.0345,0.7288649082183838
budget,h128_d18_s4,128,18,4,24000,8.9844,68.5643,0.7298224568367004
budget,h128_d18_s4,128,18,4,26000,5.4688,68.3618,0.7446999549865723
budget,h128_d18_s4,128,18,4,28000,5.0781,68.3087,0.7307987213134766
budget,h128_d18_s4,128,18,4,30000,10.5469,68.2533,0.742830753326416
budget,h128_d36,128,36,0,2000,0.0,58.6709,1.0027596950531006
budget,h128_d36,128,36,0,4000,2.1484,64.4338,0.8453312516212463
budget,h128_d36,128,36,0,6000,3.5156,65.4755,0.8529462218284607
budget,h128_d36,128,36,0,8000,4.2969,66.8403,0.7715162634849548
budget,h128_d36,128,36,0,10000,5.8594,67.7421,0.7487571239471436
budget,h128_d36,128,36,0,12000,10.3516,66.8668,0.8507586121559143
budget,h128_d36,128,36,0,14000,9.375,67.3563,0.7620892524719238
budget,h128_d36,128,36,0,16000,14.0625,69.0611,0.7550271153450012
budget,h128_d36,128,36,0,18000,15.0391,68.7042,0.7477937936782837
budget,h128_d36,128,36,0,20000,15.2344,69.7097,0.7183538675308228
